subject,sender,content,urls,label
Your Wells Fargo account,wellsfargo.service204@gmail.com,Please review your recent activity here: http://17.122.223.11/wellsfargo/secure-login.php,http://17.122.223.11/wellsfargo/secure-login.php,1
Taylor shared a file with you,billing-xcml@spotify.com,You've been invited to view a document. Open it whenever you like: https://www.spotify.com/settings,https://www.spotify.com/settings,0
New sign-in to your Zoom account,no-reply@zoom.us,"Hi Sam, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.zoom.us/settings",https://www.zoom.us/settings,0
Your password was changed,service@dhl.com,"Hi Taylor, this confirms your password was changed. If this was you, no action is needed. Manage security settings: https://www.dhl.com/help",https://www.dhl.com/help,0
Notes from today's sync,priya.arjun56@meridianhq.com,"Hey, great call. I put the action items in the shared doc. Let me know if I missed anything.",,0
Update your direct deposit,google.support328@gmail.com,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://133.95.242.77/google/secure-login.php,http://133.95.242.77/google/secure-login.php,0
Your PayPal payment receipt,service94@paypal.com,We received your payment of $79.31. Thanks for being a customer. Receipt: https://www.paypal.com/help,https://www.paypal.com/help,0
Document shared with you,support38@dr0pb0x-verify.tk,A document has been shared with you. Open it here: http://188.124.168.130/dropbox/secure-login.php,http://188.124.168.130/dropbox/secure-login.php,0
You have 8 unread notifications,team8@slack.com,Here is your weekly Slack digest. Open the app to catch up: https://www.slack.com/settings,https://www.slack.com/settings,0
Please verify your email for Grammarly,info@grammarly.com,"Hi Priya, welcome aboard! Please confirm your email address to finish setting up your account: https://www.grammarly.com/inbox This link is valid for 24 hours.",https://www.grammarly.com/inbox,0
Document shared with you,no-reply.login@google-desk.work,A document has been shared with you. Open it here: http://google-secure.sikja.work/verify?id=nf3keyyn2w,http://google-secure.sikja.work/verify?id=nf3keyyn2w,1
URGENT: Your Amazon account has been suspended,support91@amaz0n-secure.zip,"Dear Customer, we detected UNUSUAL ACTIVITY on your account. It has been SUSPENDED. You must VERIFY your identity within 24 hours or it will be permanently closed!!! Verify now: http://178.73.123.172/amazon/secure-login.php Enter your password and billing details to restore access.",http://178.73.123.172/amazon/secure-login.php,1
Confirm your Instagram identity,service5@1nstagram-secure.xyz,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://182.213.233.39/instagram/secure-login.php Thank you for your cooperation.",http://182.213.233.39/instagram/secure-login.php,1
Confirm your Google identity,google.service268@gmail.com,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://google.account-6v57.com@hlszm6vd.click/login Thank you for your cooperation.",http://google.account-6v57.com@hlszm6vd.click/login,1
Document shared with you,dropbox.delivery@dropbox-portal.xyz,A document has been shared with you. Open it here: http://dr0pb0x-verify.work/expfsl/tj669r/ea3y0x?token=aobk02lvumhf5ox05zhi,http://dr0pb0x-verify.work/expfsl/tj669r/ea3y0x?token=aobk02lvumhf5ox05zhi,1
Your monthly Microsoft statement is ready,no-reply9@microsoft.com,"Hello Alex, your statement is now available. No action is needed. Review it here when convenient: https://www.microsoft.com",https://www.microsoft.com,0
Your Amazon account,it@4tbs9-portal.top,Please review your recent activity here: https://cutt.ly/ct71wb,https://cutt.ly/ct71wb,1
thanks!,jamie.ben@meridianhq.com,"Got it, appreciate the quick turnaround. Talk soon.",https://docs.meridianhq.com/g6a2c9,0
New sign-in to your Calendly account,notifications-qzjq@calendly.com,"Hi Sara, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.calendly.com/account",https://www.calendly.com/account,0
New sign-in to your Atlassian account,jira-5p7v@atlassian.com,"Hi Arjun, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.atlassian.com/billing",https://www.atlassian.com/billing,0
Sign-in confirmation,hr.online@support-login.work,Confirm your recent sign-in to continue: http://microsoft.account-sr5e.com@t3h7psxm.xyz/login,http://microsoft.account-sr5e.com@t3h7psxm.xyz/login,1
Please verify your email for Zoom,no-reply22@zoom.us,"Hi Jamie, welcome aboard! Please confirm your email address to finish setting up your account: https://www.zoom.us/settings This link is valid for 24 hours.",https://www.zoom.us/settings,0
Priya shared a file with you,no-reply52@zoom.us,You've been invited to view a document. Open it whenever you like: https://www.zoom.us/app,https://www.zoom.us/app,0
You have 8 unread notifications,team-rqp9@notion.so,Here is your weekly Notion digest. Open the app to catch up: https://www.notion.so/inbox,https://www.notion.so/inbox,0
Verify your wallet,k1d8nr@amaz0nuu8.top,We noticed unusual activity on your wallet. Confirm your seed phrase and login credentials to secure your funds: http://verify-secure.tk/login,http://verify-secure.tk/login,1
Action Required: Confirm your payment information,service6@netf11x-secure.work,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://netflix-desk.work/update Failure to act will result in account termination!!!,http://netflix-desk.work/update,1
New sign-in to your Stripe account,support@stripe.com,"Hi Rahul, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.stripe.com/settings",https://www.stripe.com/settings,0
Please verify your email for Airbnb,automated@airbnb.com,"Hi Priya, welcome aboard! Please confirm your email address to finish setting up your account: https://www.airbnb.com/account This link is valid for 24 hours.",https://www.airbnb.com/account,0
Sign-in confirmation,hr.team@microsoft-claim.xyz,Confirm your recent sign-in to continue: http://microsoft-secure.rh732.zip/verify?id=xpj2qi80ka,http://microsoft-secure.rh732.zip/verify?id=xpj2qi80ka,1
Your monthly Instagram statement is ready,orders-88no@instagram.com,"Hello Ben, your statement is now available. No action is needed. Review it here when convenient: https://www.instagram.com/support/cases",https://www.instagram.com/support/cases,0
Your Google package is on hold,no-reply@google-care.com,Your parcel is on hold due to an unpaid customs fee. Pay now and update your billing information to release it: https://rb.gy/69xp7s,https://rb.gy/69xp7s,1
Lunch next week?,sara.rahul@novatech.io,Are you free Thursday or Friday? Happy to grab something near the office.,https://docs.novatech.io/pforpo,0
PayPal notification,admin@nq76k-portal.top,There is an update on your account. View it here: http://paypal-secure.x1vh3.tk/verify?id=k509y5ba0l,http://paypal-secure.x1vh3.tk/verify?id=k509y5ba0l,1
Congratulations! You have won a $1000 gift card,apple.service@apple-desk.support,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://12.179.120.115/apple/secure-login.php Provide your details to receive your cash reward immediately.,http://12.179.120.115/apple/secure-login.php,1
Action Required: Confirm your payment information,wellsfargo.security683@gmail.com,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://wellsfargo-secure.yi7ce.click/verify?id=9dbeza9agu Failure to act will result in account termination!!!,http://wellsfargo-secure.yi7ce.click/verify?id=9dbeza9agu,1
Congratulations! You have won a $1000 gift card,payroll@31w3l-portal.xyz,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://fedex-secure.0dfxu.tk/verify?id=9gm53fpy63 Provide your details to receive your cash reward immediately.,http://fedex-secure.0dfxu.tk/verify?id=9gm53fpy63,1
Update your direct deposit,microsoft.service359@gmail.com,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: https://cutt.ly/8j1923,https://cutt.ly/8j1923,1
Action Required: Confirm your payment information,service@secure-secure.top,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://account-secure.zip/verify Failure to act will result in account termination!!!,http://account-secure.zip/verify,1
New sign-in to your Slack account,team@slack.com,"Hi Casey, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.slack.com/inbox",https://www.slack.com/inbox,0
Notes from today's sync,arjun.jordan@bluepeak.net,"Hey, great call. I put the action items in the shared doc: https://docs.bluepeak.net/wcud3i Let me know if I missed anything.",https://docs.bluepeak.net/wcud3i,0
Your monthly DHL statement is ready,service@dhl.com,"Hello Morgan, your statement is now available. No action is needed. Review it here when convenient: https://www.dhl.com/billing/history",https://www.dhl.com/billing/history,0
Sign-in confirmation,hr.track@login-alert.click,Confirm your recent sign-in to continue: http://11nked1n-verify.click/m7xxcn/3on4fg/0djq1p?token=qvczkakj6szxi5n6dbxf,http://11nked1n-verify.click/m7xxcn/3on4fg/0djq1p?token=qvczkakj6szxi5n6dbxf,1
Action needed: accept your GitHub invite,notifications@github.com,Leo invited you to a workspace. Accept the invitation to get started: https://www.github.com/billing,https://www.github.com/billing,0
Your Uber invoice is ready,receipts@uber.com,"Hi Jordan, your subscription renewed successfully. No action needed. View your invoice in account settings: https://www.uber.com/inbox",https://www.uber.com/inbox,0
Confirm your Wells Fargo identity,service@service-verify.support,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://36.145.132.175/wellsfargo/secure-login.php Thank you for your cooperation.",http://36.145.132.175/wellsfargo/secure-login.php,1
Update your direct deposit,coinbase.service83@gmail.com,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: https://tinyurl.com/cjb3ge,https://tinyurl.com/cjb3ge,1
Neha shared a file with you,billing@spotify.com,You've been invited to view a document. Open it whenever you like: https://www.spotify.com/app,https://www.spotify.com/app,0
Congratulations! You have won a $1000 gift card,support93@11nked1n-verify.tk,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://delivery-update.tk/update Provide your details to receive your cash reward immediately.,http://delivery-update.tk/update,1
URGENT: Your DHL account has been suspended,security32@dh1-verify.zip,"Dear Customer, we detected UNUSUAL ACTIVITY on your account. It has been SUSPENDED. You must VERIFY your identity within 24 hours or it will be permanently closed!!! Verify now: http://13.224.193.81/dhl/secure-login.php Enter your password and billing details to restore access.",http://13.224.193.81/dhl/secure-login.php,1
Sign-in confirmation,security31@chase-verify.tk,Confirm your recent sign-in to continue: http://chase-secure.g10yc.support/verify?id=ys0wi4iuyd,http://chase-secure.g10yc.support/verify?id=ys0wi4iuyd,1
thanks!,priya.diya66@bluepeak.net,"Got it, appreciate the quick turnaround. Talk soon.",https://docs.bluepeak.net/rrbaej,0
Confirm your FedEx identity,fedex.delivery@delivery-alert.support,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://fedex-portal.zip/login Thank you for your cooperation.",http://fedex-portal.zip/login,1
Re: project timeline,sam.morgan34@northwind.org,"Thanks, that works for me. I'll circulate the revised plan tomorrow. Doc is here for reference: https://docs.northwind.org/7prwmo",https://docs.northwind.org/7prwmo,0
Update your direct deposit,team@fedexmail.com,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://fedex-secure.3yys1.support/verify?id=pvoeo37pha,http://fedex-secure.3yys1.support/verify?id=pvoeo37pha,1
Congratulations! You have won a $1000 gift card,coinbase.account@customer-center.work,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: https://bit.ly/k25gp0 Provide your details to receive your cash reward immediately.,https://bit.ly/k25gp0,1
Jordan shared a file with you,team@slack.com,You've been invited to view a document. Open it whenever you like: https://www.slack.com/settings,https://www.slack.com/settings,0
Quick update on the deploy,taylor.alex@meridianhq.com,"Deploy went out cleanly, all checks green.",,0
thanks!,neha.taylor@northwind.org,"Got it, appreciate the quick turnaround. Talk soon.",https://docs.northwind.org/u8akhy,0
thanks!,sam.diya@brightlabs.co,"Got it, appreciate the quick turnaround. Talk soon.",,0
Re: project timeline,jordan.casey@meridianhq.com,"Thanks, that works for me. I'll circulate the revised plan tomorrow. Doc is here for reference: https://docs.meridianhq.com/kbjn7f",https://docs.meridianhq.com/kbjn7f,0
Sign-in confirmation,security67@app1e-verify.xyz,Confirm your recent sign-in to continue: http://30.115.179.150/apple/secure-login.php,http://30.115.179.150/apple/secure-login.php,1
thanks!,rahul.diya68@meridianhq.com,"Got it, appreciate the quick turnaround. Talk soon.",,0
Action Required: Confirm your payment information,support58@we11sfarg0-secure.tk,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://223.35.28.126/wellsfargo/secure-login.php Failure to act will result in account termination!!!,http://223.35.28.126/wellsfargo/secure-login.php,1
Sign-in confirmation,google.support@service-portal.work,Confirm your recent sign-in to continue: http://google.account-45l5.com@do3gq83q.top/login,http://google.account-45l5.com@do3gq83q.top/login,1
Re: project timeline,taylor.sam72@meridianhq.com,"Thanks, that works for me. I'll circulate the revised plan tomorrow. Doc is here for reference: https://docs.meridianhq.com/4h4zx5",https://docs.meridianhq.com/4h4zx5,0
Action needed: accept your GitHub invite,notifications28@github.com,Taylor invited you to a workspace. Accept the invitation to get started: https://www.github.com/account,https://www.github.com/account,0
Congratulations! You have won a $1000 gift card,security31@1nstagram-secure.zip,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://billing-desk.xyz/login Provide your details to receive your cash reward immediately.,http://billing-desk.xyz/login,1
Re: your request,no-reply@mail-secure.com,Following up - please complete the verification here: https://cutt.ly/smp85y,https://cutt.ly/smp85y,1
Verify your wallet,hwfl8m@fedexpj4.work,We noticed unusual activity on your wallet. Confirm your seed phrase and login credentials to secure your funds: http://fedex-secure.l5c09.support/verify?id=jrpg739zob,http://fedex-secure.l5c09.support/verify?id=jrpg739zob,1
Your Slack receipt,team@slack.com,Thanks for your purchase. Your total was $45.39. View the receipt any time: https://www.slack.com/billing,https://www.slack.com/billing,0
Update your direct deposit,instagram.service678@gmail.com,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://instagram-secure.1wxpx.tk/verify?id=5uqw6b9w5z,http://instagram-secure.1wxpx.tk/verify?id=5uqw6b9w5z,1
Your DHL payment receipt,service@dhl.com,We received your payment of $32.64. Thanks for being a customer. Receipt: https://www.dhl.com/notifications,https://www.dhl.com/notifications,0
Diya shared a file with you,info-ka7l@grammarly.com,You've been invited to view a document. Open it whenever you like: https://www.grammarly.com/settings,https://www.grammarly.com/settings,0
Instagram notification,service@account-services.com,There is an update on your account. View it here: http://instagram-secure.pla6d.support/verify?id=ljk85jyyfk,http://instagram-secure.pla6d.support/verify?id=ljk85jyyfk,0
You have 15 unread notifications,team@notion.so,Here is your weekly Notion digest. Open the app to catch up: https://www.notion.so/account,https://www.notion.so/account,0
Re: contract review,sam.taylor@brightlabs.co,Looks good overall. I left a couple of comments in section 3 - mostly wording. Once those are in I'm happy to sign off.,,0
Re: project timeline,casey.morgan@brightlabs.co,"Thanks, that works for me. I'll circulate the revised plan tomorrow.",,0
Re: project timeline,sara.rahul@novatech.io,"Thanks, that works for me. I'll circulate the revised plan tomorrow.",,0
Re: your request,support76@dh1-verify.xyz,Following up - please complete the verification here: http://dhl-secure.grzpx.zip/verify?id=v1uitdj4wt,http://dhl-secure.grzpx.zip/verify?id=v1uitdj4wt,1
Your monthly Instagram statement is ready,orders85@instagram.com,"Hello Rahul, your statement is now available. No action is needed. Review it here when convenient: https://www.instagram.com/support/cases",https://www.instagram.com/support/cases,0
DHL notification,no-reply@account-services.com,There is an update on your account. View it here: http://dh1-verify.top/rd8spw/0s1nkk/0g78tm?token=qh3a5f1u6swnj9rwau3v,http://dh1-verify.top/rd8spw/0s1nkk/0g78tm?token=qh3a5f1u6swnj9rwau3v,1
Congratulations! You have won a $1000 gift card,amazon.account@login-portal.xyz,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://152.205.151.88/amazon/secure-login.php Provide your details to receive your cash reward immediately.,http://152.205.151.88/amazon/secure-login.php,1
Your Netflix package is on hold,netflix.service661@gmail.com,Your parcel is on hold due to an unpaid customs fee. Pay now and update your billing information to release it: http://netflix-secure.zip/pay,http://netflix-secure.zip/pay,1
Amazon notification,hr@55pb4-portal.click,There is an update on your account. View it here: http://amazon-claim.support/verify,http://amazon-claim.support/verify,1
Your FedEx order #455159 has shipped,no-reply-rmpl@fedex.com,"Hi Rahul, your order #455159 is on its way and will arrive in 2-3 days. Track it from your account: https://www.fedex.com/support/cases",https://www.fedex.com/support/cases,0
You have 15 unread notifications,jira@atlassian.com,Here is your weekly Atlassian digest. Open the app to catch up: https://www.atlassian.com/settings,https://www.atlassian.com/settings,0
New sign-in to your GitHub account,notifications@github.com,"Hi Jamie, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.github.com/inbox",https://www.github.com/inbox,0
Your Instagram order #716381 has shipped,service91@instagram.com,"Hi Arjun, your order #716381 is on its way and will arrive in 2-3 days. Track it from your account: https://www.instagram.com/billing/history",https://www.instagram.com/billing/history,0
Your Apple package is on hold,yilzr0@app1e15k.support,Your parcel is on hold due to an unpaid customs fee. Pay now and update your billing information to release it: http://106.195.194.64/apple/secure-login.php,http://106.195.194.64/apple/secure-login.php,1
Please verify your email for Airbnb,automated@airbnb.com,"Hi Taylor, welcome aboard! Please confirm your email address to finish setting up your account: https://www.airbnb.com/inbox This link is valid for 24 hours.",https://www.airbnb.com/inbox,0
Action Required: Confirm your payment information,help@instagrammail.com,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://instagram-desk.work/verify Failure to act will result in account termination!!!,http://instagram-desk.work/verify,1
Your Atlassian invoice is ready,jira@atlassian.com,"Hi Arjun, your subscription renewed successfully. No action needed. View your invoice in account settings: https://www.atlassian.com/app",https://www.atlassian.com/app,0
Re: project timeline,taylor.morgan39@brightlabs.co,"Thanks, that works for me. I'll circulate the revised plan tomorrow. Doc is here for reference: https://docs.brightlabs.co/vo2n0i",https://docs.brightlabs.co/vo2n0i,0
Action needed: accept your Spotify invite,billing@spotify.com,Taylor invited you to a workspace. Accept the invitation to get started: https://www.spotify.com/inbox,https://www.spotify.com/inbox,0
Confirm your Google identity,goeiot@g00g1ezs6.click,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://g00g1e-secure.zip/3jr1nj/kiksmv/4qqj3a?token=1iopra5a5pmlqhdlqh1c Thank you for your cooperation.",http://g00g1e-secure.zip/3jr1nj/kiksmv/4qqj3a?token=1iopra5a5pmlqhdlqh1c,1
Coinbase notification,support@coinbasemail.com,There is an update on your account. View it here: https://cutt.ly/0f00ms,https://cutt.ly/0f00ms,1
Your Microsoft account,account87@m1cr0s0ft-verify.zip,Please review your recent activity here: http://microsoft-team.work/login,http://microsoft-team.work/login,1
Verify your wallet,account40@we11sfarg0-billing.support,We noticed unusual activity on your wallet. Confirm your seed phrase and login credentials to secure your funds: http://wellsfargo-online.support/account,http://wellsfargo-online.support/account,1
New sign-in to your Slack account,team@slack.com,"Hi Arjun, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.slack.com/app",https://www.slack.com/app,0
Confirm your Amazon identity,admin@sykqv-portal.zip,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://amazon-secure.44tfw.work/verify?id=neo9vaxczz Thank you for your cooperation.",http://amazon-secure.44tfw.work/verify?id=neo9vaxczz,1
Your Zoom invoice is ready,no-reply@zoom.us,"Hi Casey, your subscription renewed successfully. No action needed. View your invoice in account settings: https://www.zoom.us/account",https://www.zoom.us/account,0
Re: your request,support@googlemail.com,Following up - please complete the verification here: https://cutt.ly/rqit4j,https://cutt.ly/rqit4j,1
Action Required: Confirm your payment information,hr@gvka6-portal.support,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://netflix-secure.6isx4.xyz/verify?id=t0z4o75rdd Failure to act will result in account termination!!!,http://netflix-secure.6isx4.xyz/verify?id=t0z4o75rdd,1
Casey shared a file with you,team@notion.so,You've been invited to view a document. Open it whenever you like: https://www.notion.so/settings,https://www.notion.so/settings,0
URGENT: Your Apple account has been suspended,support@customer-team.support,"Dear Customer, we detected UNUSUAL ACTIVITY on your account. It has been SUSPENDED. You must VERIFY your identity within 24 hours or it will be permanently closed!!! Verify now: http://app1e-billing.click/9l349d/q1gt7d/ht8d61?token=098cjnjz9g6dvnq49440 Enter your password and billing details to restore access.",http://app1e-billing.click/9l349d/q1gt7d/ht8d61?token=098cjnjz9g6dvnq49440,1
Congratulations! You have won a $1000 gift card,support@mail-secure.com,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://microsoft-secure.dilxn.support/verify?id=bcig3kqtyd Provide your details to receive your cash reward immediately.,http://microsoft-secure.dilxn.support/verify?id=bcig3kqtyd,1
New sign-in to your Notion account,team-o4p0@notion.so,"Hi Casey, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.notion.so/app",https://www.notion.so/app,0
Re: contract review,casey.morgan@novatech.io,Looks good overall. I left a couple of comments in section 3 - mostly wording. Once those are in I'm happy to sign off.,,0
Action needed: accept your Slack invite,team@slack.com,Alex invited you to a workspace. Accept the invitation to get started: https://www.slack.com/inbox,https://www.slack.com/inbox,0
Quick update on the deploy,jordan.ben@bluepeak.net,"Deploy went out cleanly, all checks green.",,0
Congratulations! You have won a $1000 gift card,security82@chase-team.tk,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://chase-verify.top/xnw28b/gju7da/mixw78?token=meewbhfbxq4uw0jgqevd Provide your details to receive your cash reward immediately.,http://chase-verify.top/xnw28b/gju7da/mixw78?token=meewbhfbxq4uw0jgqevd,1
Document shared with you,hr@zfwsa-portal.zip,A document has been shared with you. Open it here: http://142.8.45.203/chase/secure-login.php,http://142.8.45.203/chase/secure-login.php,1
Re: your request,j8o98b@g00g1eujd.click,Following up - please complete the verification here: http://g00g1e-secure.click/loyhdo/wm2hut/7p5mz6?token=w3co8pe74add0gn7rvxq,http://g00g1e-secure.click/loyhdo/wm2hut/7p5mz6?token=w3co8pe74add0gn7rvxq,1
Action Required: Confirm your payment information,support@mail-secure.com,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://paypal.account-s210.com@u8ulv1j3.work/login Failure to act will result in account termination!!!,http://paypal.account-s210.com@u8ulv1j3.work/login,1
Sign-in confirmation,no-reply@chase-care.com,Confirm your recent sign-in to continue: http://chase-verify.zip/hcu0e0/r3jss3/t14lyf?token=6nxxx5f6z61dhihpsmtk,http://chase-verify.zip/hcu0e0/r3jss3/t14lyf?token=6nxxx5f6z61dhihpsmtk,1
URGENT: Your FedEx account has been suspended,fedex.security286@gmail.com,"Dear Customer, we detected UNUSUAL ACTIVITY on your account. It has been SUSPENDED. You must VERIFY your identity within 24 hours or it will be permanently closed!!! Verify now: https://is.gd/h90u3r Enter your password and billing details to restore access.",https://is.gd/h90u3r,1
URGENT: Your FedEx account has been suspended,service@service-center.click,"Dear Customer, we detected UNUSUAL ACTIVITY on your account. It has been SUSPENDED. You must VERIFY your identity within 24 hours or it will be permanently closed!!! Verify now: http://fedex-secure.8dyzk.click/verify?id=n57ple0ewr Enter your password and billing details to restore access.",http://fedex-secure.8dyzk.click/verify?id=n57ple0ewr,1
Congratulations! You have won a $1000 gift card,admin@leotp-portal.work,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://208.13.145.245/instagram/secure-login.php Provide your details to receive your cash reward immediately.,http://208.13.145.245/instagram/secure-login.php,1
Update your direct deposit,service@coinbase-care.com,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://189.84.148.122/coinbase/secure-login.php,http://189.84.148.122/coinbase/secure-login.php,1
Congratulations! You have won a $1000 gift card,payroll@kxgnt-portal.click,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://apple-secure.1py82.support/verify?id=sbah6tc45p Provide your details to receive your cash reward immediately.,http://apple-secure.1py82.support/verify?id=sbah6tc45p,1
Lunch next week?,leo.morgan@brightlabs.co,Are you free Thursday or Friday? Happy to grab something near the office.,https://docs.brightlabs.co/aifowp,0
Action needed: accept your Atlassian invite,jira19@atlassian.com,Diya invited you to a workspace. Accept the invitation to get started: https://www.atlassian.com/account,https://www.atlassian.com/account,0
Confirm your Wells Fargo identity,wellsfargo.security419@gmail.com,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://delivery-track.support/account Thank you for your cooperation.",http://delivery-track.support/account,1
Congratulations! You have won a $1000 gift card,google.service859@gmail.com,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://google-secure.u4yq5.click/verify?id=e6nphvoxj0 Provide your details to receive your cash reward immediately.,http://google-secure.u4yq5.click/verify?id=e6nphvoxj0,1
Your Coinbase order #697182 has shipped,orders74@coinbase.com,"Hi Diya, your order #697182 is on its way and will arrive in 2-3 days. Track it from your account: ",,0
Congratulations! You have won a $1000 gift card,no-reply@mail-secure.com,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://79.155.200.43/amazon/secure-login.php Provide your details to receive your cash reward immediately.,http://79.155.200.43/amazon/secure-login.php,1
Lunch next week?,jordan.ben98@northwind.org,Are you free Thursday or Friday? Happy to grab something near the office.,https://docs.northwind.org/2mujqm,0
URGENT: Your PayPal account has been suspended,service@parcel-secure.click,"Dear Customer, we detected UNUSUAL ACTIVITY on your account. It has been SUSPENDED. You must VERIFY your identity within 24 hours or it will be permanently closed!!! Verify now: http://verify-secure.support/account Enter your password and billing details to restore access.",http://verify-secure.support/account,1
New sign-in to your Calendly account,notifications@calendly.com,"Hi Priya, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.calendly.com/account",https://www.calendly.com/account,0
Amazon notification,amazon.support127@gmail.com,There is an update on your account. View it here: http://amaz0n-secure.tk/q41wjx/3xyrg7/qsodmx?token=0rdt5nhxf4t8ma1024rv,http://amaz0n-secure.tk/q41wjx/3xyrg7/qsodmx?token=0rdt5nhxf4t8ma1024rv,1
Verify your wallet,support99@dh1-billing.work,We noticed unusual activity on your wallet. Confirm your seed phrase and login credentials to secure your funds: http://dhl-secure.1oi0x.work/verify?id=kaadov9wd0,http://dhl-secure.1oi0x.work/verify?id=kaadov9wd0,1
Quick update on the deploy,morgan.diya@acmecorp.com,"Deploy went out cleanly, all checks green. Dashboard: https://docs.acmecorp.com/mbzrkz",https://docs.acmecorp.com/mbzrkz,0
Your Microsoft package is on hold,no-reply@delivery-claim.support,Your parcel is on hold due to an unpaid customs fee. Pay now and update your billing information to release it: http://192.10.241.99/microsoft/secure-login.php,http://192.10.241.99/microsoft/secure-login.php,1
DHL notification,support41@dh1-billing.work,There is an update on your account. View it here: http://232.181.40.29/dhl/secure-login.php,http://232.181.40.29/dhl/secure-login.php,1
Lunch next week?,ben.jamie@northwind.org,Are you free Thursday or Friday? Happy to grab something near the office.,,0
Re: project timeline,taylor.diya@brightlabs.co,"Thanks, that works for me. I'll circulate the revised plan tomorrow. Doc is here for reference: https://docs.brightlabs.co/orqetj",https://docs.brightlabs.co/orqetj,0
Your Google account,hr@cgv6l-portal.zip,Please review your recent activity here: http://google-secure.9ioyi.zip/verify?id=z0o158j8h1,http://google-secure.9ioyi.zip/verify?id=z0o158j8h1,1
thanks!,taylor.sara@brightlabs.co,"Got it, appreciate the quick turnaround. Talk soon.",https://docs.brightlabs.co/3oag4g,0
Re: contract review,neha.jordan@brightlabs.co,Looks good overall. I left a couple of comments in section 3 - mostly wording. Once those are in I'm happy to sign off.,,0
Your Uber receipt,receipts@uber.com,Thanks for your purchase. Your total was $26.19. View the receipt any time: https://www.uber.com/settings,https://www.uber.com/settings,0
Document shared with you,payroll@435o1-portal.tk,A document has been shared with you. Open it here: http://amazon-team.tk/pay,http://amazon-team.tk/pay,1
Your Figma invoice is ready,hello@figma.com,"Hi Arjun, your subscription renewed successfully. No action needed. View your invoice in account settings: https://www.figma.com/account",https://www.figma.com/account,0
Re: contract review,jordan.sara27@acmecorp.com,Looks good overall. I left a couple of comments in section 3 - mostly wording. Once those are in I'm happy to sign off.,,0
New sign-in to your Atlassian account,jira@atlassian.com,"Hi Ben, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.atlassian.com/app",https://www.atlassian.com/app,0
Your Amazon account,help@account-services.com,Please review your recent activity here: http://83.69.250.16/amazon/secure-login.php,http://83.69.250.16/amazon/secure-login.php,1
Update your direct deposit,security66@m1cr0s0ft-team.support,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: https://cutt.ly/qr0apx,https://cutt.ly/qr0apx,1
